county_FIPS,Dissimilarity,Spatial_Proximity ,Isolation ,Delta,tract_count,year
12105,0.42327385,1.10630724,0.3119383,0.65439558,154,2013
12107,0.49970289,1.73001545,0.38637579,0.63823277,16,2013
12109,0.44953815,1.1085849,0.1626179,0.56453714,39,2013
12111,0.3358688,1.17141161,0.37044031,0.73615983,43,2013
12113,0.40384405,1.03437405,0.12195542,0.6783473,25,2013
12115,0.59301497,1.11801556,0.2604303,0.76048779,94,2013
12117,0.37436502,1.06165117,0.25041229,0.56203245,86,2013
12119,0.68731794,1.23776364,0.44383067,0.60675168,19,2013
12121,0.43887302,1.11152226,0.21363348,0.54279583,7,2013
12123,0.35856066,1.36944854,0.33117418,0.50223887,4,2013
12125,0.26718979,1.02189446,0.26377617,0.18894319,3,2013
12127,0.51006088,1.2405266,0.35558789,0.7589879,113,2013
12129,0.35399247,1.01382972,0.21816888,0.51617948,4,2013
12131,0.60991162,1.13070171,0.20496958,0.58254114,11,2013
12133,0.41104695,1.0468277,0.24259629,0.44834988,7,2013
13001,0.44542927,0.97995807,0.34204502,0.60703176,5,2013
13003,0.18601084,1.03840389,0.24272588,0.23030073,3,2013
13005,0.2890028,1.02827136,0.23114174,0.46676812,3,2013
13007,0.23203162,1.02540658,0.62945033,0.26093581,2,2013
13009,0.20971158,1.10171387,0.46885323,0.47341048,9,2013
13011,0.4439351,0.98964875,0.05874244,0.39907122,4,2013
13013,0.3132704,1.02809258,0.17825623,0.37961785,18,2013
13015,0.22952798,1.02126828,0.13456772,0.48812684,15,2013
13017,0.24113504,1.02645672,0.40737774,0.69011101,5,2013
13019,0.22057396,1.01365158,0.14384585,0.1082857,6,2013
13021,0.55643373,1.21113894,0.70754601,0.57822762,44,2013
13023,0.4568839,1.04874337,0.46328774,0.52628271,3,2013
13025,0.23471447,1.0081505,0.04557226,0.34830435,3,2013
13027,0.34595196,1.14238727,0.45142665,0.43581317,5,2013
13029,0.34457118,1.01027377,0.20955183,0.32963231,6,2013
13031,0.24394247,1.03080025,0.3464525,0.52099595,12,2013
13033,0.24219057,1.14353805,0.55666493,0.28019694,6,2013
13035,0.20641297,0.97090995,0.31352075,0.27116361,3,2013
13037,0.01310218,1.00019349,0.63557109,0.06552255,2,2013
13039,0.25451332,0.99874911,0.24364188,0.5524189,10,2013
13043,0.24877184,1.03037429,0.29965376,0.34309603,3,2013
13045,0.26151201,1.09092178,0.24724658,0.47695117,17,2013
